Price,Name,Location,Link
"$3,600","2007 HONDA CIVIC SI COUPE","EAST BRUNSWICK",https://cnj.craigslist.org/cto/d/east-brunswick-2007-honda-civic-si-coupe/7260161277.html
"$7,300","2014 Nissian Pathfinder  SV (Mechanic Special)","OLD BRIDGE",https://cnj.craigslist.org/ctd/d/old-bridge-2014-nissian-pathfinder-sv/7260148429.html
"$3,800","Low Miles 2004 Hyundai Sonata GLS ~ 4 Cylinder ~ 56K Miles","FLEMINGTON NJ",https://cnj.craigslist.org/cto/d/flemington-low-miles-2004-hyundai/7260144983.html
"$13,000","Black 2016 Ford Explorer Police Interceptor Utility ~ 115K","LAMBERTVILLE NJ",https://cnj.craigslist.org/cto/d/lambertville-black-2016-ford-explorer/7260144754.html
"$6,200","2008 Jaguar X-Type AWD (LOW MILES 32K)","COLONIA",https://cnj.craigslist.org/cto/d/colonia-2008-jaguar-type-awd-low-miles/7260130463.html
"$8,600","!!! 2011 HONDA ACCORD - LX !!!","ELIZABETH",https://cnj.craigslist.org/cto/d/elizabeth-honda-accord-lx/7260119004.html
"$7,500","!!! 2015 NISSAN SENTRA !!!!","ELIZABETH",https://cnj.craigslist.org/cto/d/elizabeth-nissan-sentra/7260118675.html
"$6,600","!!! 2010 TOYOTA PRIUS !!!","ELIZABETH",https://cnj.craigslist.org/cto/d/elizabeth-toyota-prius/7260118379.html
"$9,000","!!! 2017 HONDA FIT LX HATCHBACK 4 DR. - LX !!!","ELIZABETH",https://cnj.craigslist.org/cto/d/elizabeth-honda-fit-lx-hatchback-dr-lx/7260118135.html
"$6,000","!!! 2011 HYUNDAI SONATA  -  GLS !!!","ELIZABETH",https://cnj.craigslist.org/cto/d/elizabeth-hyundai-sonata-gls/7260117835.html
"$5,800","!!! 2015 KIA RIO - LX  SEDAN 4 DR.!!!","ELIZABETH",https://cnj.craigslist.org/cto/d/elizabeth-kia-rio-lx-sedan-dr/7260117540.html
"$5,600","!!! 2010 MAZDA - 3 !!!!","ELIZABETH",https://cnj.craigslist.org/cto/d/elizabeth-mazda/7260117270.html
"$3,500","!!! 2005 VOLKSWAGEN JETTA 2.5 - PKG1  !!!","ELIZABETH",https://cnj.craigslist.org/cto/d/elizabeth-volkswagen-jetta-25-pkg1/7260116985.html
"$3,300","2004 Honda Element 4x4","NO LOCATION PROVIDED",https://cnj.craigslist.org/cto/d/plainfield-2004-honda-element-4x4/7260110433.html
"$5,000","2007 Hyundai Sonata 80,000 miles","TOMS RIVER, NJ",https://cnj.craigslist.org/cto/d/toms-river-2007-hyundai-sonata-miles/7260108912.html
"$3,000","2002 Nissan Maxima","NO LOCATION PROVIDED",https://cnj.craigslist.org/cto/d/woodbridge-2002-nissan-maxima/7260108448.html
"$2,800","2005 Nissan Altima","NO LOCATION PROVIDED",https://cnj.craigslist.org/cto/d/woodbridge-2005-nissan-altima/7260096771.html
"$4,200","2007 bmw 328i runs excellent","NO LOCATION PROVIDED",https://cnj.craigslist.org/cto/d/port-reading-2007-bmw-328i-runs/7260095921.html
"$2,700","2002 volkswagon passat ---WE FINANCE EVERYONE","FROM $299 DOWN YOUR APPROVED COME GET IT",https://cnj.craigslist.org/ctd/d/burlington-2002-volkswagon-passat-we/7260094002.html
"$10,000","Limpio","LINDEN",https://cnj.craigslist.org/cto/d/linden-limpio/7260093310.html
"$1,000","I PAY TOP DOLLAR FOR YOUR OLDER OR JUNK CARS AND HEAVY EQUIPMENT YMENT","TRI STATE AREA",https://cnj.craigslist.org/cto/d/somerset-pay-top-dollar-for-your-older/7260092720.html
"$3,500","2007 Volkswagen Jetta Manual","NO LOCATION PROVIDED",https://cnj.craigslist.org/cto/d/woodbridge-2007-volkswagen-jetta-manual/7260092024.html
"$5,900","2004 Honda Accord LX 53k very clean","NO LOCATION PROVIDED",https://cnj.craigslist.org/cto/d/clark-2004-honda-accord-lx-53k-very/7260084680.html
"$1,000","I PAY TOP DOLLAR FOR YOUR OLDER OR JUNK CARS AND HEAVY EQUIPMENT YMENT","TRI STATE AREA",https://cnj.craigslist.org/cto/d/somerset-pay-top-dollar-for-your-older/7260092720.html
"$3,500","2007 Volkswagen Jetta Manual","NO LOCATION PROVIDED",https://cnj.craigslist.org/cto/d/woodbridge-2007-volkswagen-jetta-manual/7260092024.html
"$5,900","2004 Honda Accord LX 53k very clean","NO LOCATION PROVIDED",https://cnj.craigslist.org/cto/d/clark-2004-honda-accord-lx-53k-very/7260084680.html
"$3,500","2005 Jeep Grand Cherokee","SAYREVILLE",https://cnj.craigslist.org/cto/d/sayreville-2005-jeep-grand-cherokee/7260072655.html
"$4,000","!!! 2010 HYUNDAI ACCENT - GLS !!!","ELIZABETH",https://cnj.craigslist.org/cto/d/elizabeth-hyundai-accent-gls/7260068790.html
"$5,900","2013 VW Golf Auto 4 Doors 75k miles Black On Gray New Tires","NO LOCATION PROVIDED",https://cnj.craigslist.org/cto/d/springfield-2013-vw-golf-auto-doors-75k/7260063088.html
"$11,000","2009 Mercedes GL450","HOWELL, NJ",https://cnj.craigslist.org/cto/d/howell-2009-mercedes-gl450/7260057708.html
"$14,000","2012 Mercedes-Benz M-Class ML 350 4MATIC AWD 4dr SUV 93693 Miles","FREEHOLD",https://cnj.craigslist.org/cto/d/freehold-2012-mercedes-benz-class-ml/7260052846.html
"$8,000","2015 Hyundai Elanatra SE","FREEHOLD",https://cnj.craigslist.org/cto/d/freehold-2015-hyundai-elanatra-se/7260049319.html
"$2,600","2003 Hyundai Santa Fe","NO LOCATION PROVIDED",https://cnj.craigslist.org/cto/d/piscataway-2003-hyundai-santa-fe/7260044368.html
"$2,200","2006 Ford Fusion","NO LOCATION PROVIDED",https://cnj.craigslist.org/cto/d/bound-brook-2006-ford-fusion/7260040728.html
"$8,300","2011 HONDA ODYSSEY","EAST BRUNSWICK",https://cnj.craigslist.org/cto/d/east-brunswick-2011-honda-odyssey/7260040119.html
"$300","Weekly Rental Cars Available - $300 weekly","CENTRAL JERSEY",https://cnj.craigslist.org/cto/d/highland-park-weekly-rental-cars/7260037899.html
"$9,500","2010 Lexus ES350 sedan","HAZLET NEW JERSEY",https://cnj.craigslist.org/cto/d/keyport-2010-lexus-es350-sedan/7260033113.html
"$3,800","2007 honda civic LE 66k","PISCATAWAY,NJ,08854",https://cnj.craigslist.org/cto/d/piscataway-2007-honda-civic-le-66k/7260022802.html
"$11,000","2018 FORD FUSION SE - PMTS. STARTING @ $59/WEEK","+ FAST TRACK MOTORS",https://cnj.craigslist.org/ctd/d/paterson-2018-ford-fusion-se-pmts/7260021621.html
"$1,500","2001 Ford Explorer","NORTH HANOVER",https://cnj.craigslist.org/cto/d/wrightstown-2001-ford-explorer/7260016691.html
"$2,200","2006 Mazda Mazda5","NO LOCATION PROVIDED",https://cnj.craigslist.org/cto/d/middlesex-2006-mazda-mazda5/7260009435.html
"$16,000","Ford F-150 2015 van","NO LOCATION PROVIDED",https://cnj.craigslist.org/cto/d/parlin-ford-van/7260009251.html
"$11,000","2008 Ford F150 SuperCrew FX4 - 147k Miles - Tow Package - 5.4 V8","CHESTERFIELD",https://cnj.craigslist.org/cto/d/chesterfield-2008-ford-f150-supercrew/7260006151.html
"$0","2010 Jeep Wrangler Unlimited Rubicon 4x4 4dr SUV -$500 Down Drive Today","+ NASA AUTO GROUP LLC - NO CREDIT NEEDED",https://cnj.craigslist.org/ctd/d/passaic-2010-jeep-wrangler-unlimited/7259997987.html
"$5,400","07 Toyota Corolla S","PISCATAWAY",https://cnj.craigslist.org/cto/d/piscataway-07-toyota-corolla/7259994329.html
"$4,300","2002 BMW 3 Series 325i For Sale","MIDDLETOWN",https://cnj.craigslist.org/cto/d/belford-2002-bmw-series-325i-for-sale/7259980768.html
"$13,000","2016 Chevrolet Equinox - SUV","PISCATAWAY",https://cnj.craigslist.org/cto/d/piscataway-2016-chevrolet-equinox-suv/7259979560.html
"$3,700","2010 Honda Civic LX","MATAWAN",https://cnj.craigslist.org/cto/d/matawan-2010-honda-civic-lx/7259978622.html
"$2,500","2009 Dodge Grand Caravan","NO LOCATION PROVIDED",https://cnj.craigslist.org/cto/d/middlesex-2009-dodge-grand-caravan/7259974209.html
"$43,000","2015 Audi Q7 S Line - 1 of 75","NO LOCATION PROVIDED",https://cnj.craigslist.org/cto/d/manasquan-2015-audi-q7-line-of-75/7259970453.html
"$23,000","2016 FORD EXPLORER SPORT - PMTS. STARTING @ $59/WEEK","+ FAST TRACK MOTORS",https://cnj.craigslist.org/ctd/d/paterson-2016-ford-explorer-sport-pmts/7259967188.html
"$7,500","2002 ford f350 flatbed","SOUTH PLAINFIELD",https://cnj.craigslist.org/cto/d/south-plainfield-2002-ford-f350-flatbed/7259964181.html
"$3,500","Toyota Scion TC   2006","ROSELLE PARK NEW JERSEY",https://cnj.craigslist.org/cto/d/roselle-park-toyota-scion-tc-2006/7259956444.html
"$5,000","2007 Honda Accord EX-L V6","BASKING RIDGE",https://cnj.craigslist.org/cto/d/liberty-corner-2007-honda-accord-ex-v6/7259946159.html
"$1,400","2003 ACURA TL 3.2 SEDAN SOLD AS IS","LEBANON",https://cnj.craigslist.org/cto/d/lebanon-2003-acura-tl-32-sedan-sold-as/7259936499.html
"$15,000","2005 dodge srt4 acr","NO LOCATION PROVIDED",https://cnj.craigslist.org/cto/d/sayreville-2005-dodge-srt4-acr/7259917195.html
"$0","2017 Dodge Charger SRT 392 4dr Sedan -$500 Down Drive Today","+ NASA AUTO GROUP LLC - NO CREDIT NEEDED",https://cnj.craigslist.org/ctd/d/passaic-2017-dodge-charger-srt-392-4dr/7259910515.html
"$17,000","2014 MERCEDES-BENZ CLA 250 4MATIC - PMTS. STARTING @ $59/WEEK","+ FAST TRACK MOTORS",https://cnj.craigslist.org/ctd/d/paterson-2014-mercedes-benz-cla-250/7259910381.html
"$8,700","2014 Nissan NV2500 Cargo van Ready to go","HACKENSACK",https://cnj.craigslist.org/cto/d/hackensack-2014-nissan-nv2500-cargo-van/7259897243.html
"$2,500","Ford Taurus","NO LOCATION PROVIDED",https://cnj.craigslist.org/cto/d/woodbridge-ford-taurus/7259888046.html
"$12,000","2011 Chrysler 300 Limited","PRINCETON JUNCTION",https://cnj.craigslist.org/cto/d/princeton-junction-2011-chrysler-300/7259883622.html
"$9,900","2013 *Audi* *A4* *4dr Sedan Automatic quattro 2.0T Prem","NO LOCATION PROVIDED",https://cnj.craigslist.org/ctd/d/asbury-park-2013-audi-a4-4dr-sedan/7259880697.html
"$9,900","2006 Jeep Grand Cherokee Overland 4dr SUV 4WD","EAST BRUNSWICK, NJ",https://cnj.craigslist.org/ctd/d/spotswood-2006-jeep-grand-cherokee/7259876564.html
